list-none-s,12,1000,1,36000,1230282024,34174,11763157075
list-none-s,16,1000,1,48000,2787704279,58077,41466714781
list-none-s,24,1000,1,72000,5044150866,70057,97279205142
list-id-none,1,1,4,3,128904,42968,0
list-id-none,1,2,4,6,109834,18305,0
list-id-none,1,4,4,12,78052,6504,0
list-id-none,1,8,4,24,117374,4890,0
list-id-none,1,16,4,48,125418,2612,0
list-id-none,4,1,4,12,137461,11455,0
list-id-none,4,2,4,24,149682,6236,0
list-id-none,4,4,4,48,132647,2763,0
list-id-none,8,1,4,24,287110,11962,0
list-id-none,8,2,4,48,333589,6949,0
list-id-none,8,4,4,96,326857,3404,0
list-id-none,12,1,4,36,407856,11329,0
list-id-none,12,2,4,72,370809,5150,0
list-id-none,12,4,4,144,360691,2504,0
list-id-none,12,8,4,288,420529,1460,0
list-id-none,16,1,4,48,472233,9838,0
list-id-none,16,2,4,96,767140,7991,0
list-id-s,1,10,4,30,117741,3924,938
list-id-s,1,20,4,60,134959,2249,1536
list-id-s,1,40,4,120,166802,1390,2857
list-id-s,1,80,4,240,292827,1220,5757
list-id-s,4,10,4,120,217523,1812,38726
list-id-s,4,20,4,240,273345,1138,119625
list-id-s,4,40,4,480,351338,731,401896
list-id-s,4,80,4,960,840310,875,1095447
list-id-s,8,10,4,240,327056,1362,222343
list-id-s,8,20,4,480,436973,910,677473
list-id-s,8,40,4,960,694084,723,2233919
list-id-s,8,80,4,1920,1732922,902,7261323
list-id-s,12,10,4,360,407849,1132,238807
list-id-s,12,20,4,720,628396,872,1841155
list-id-s,12,40,4,1440,1327867,922,8641740
list-id-s,12,80,4,2880,3168637,1100,24352961
list-id-s,16,10,4,480,488947,1018,123808
list-id-s,16,20,4,960,808141,841,4155701
list-id-s,16,40,4,1920,1829478,952,16354154
list-id-s,16,80,4,3840,4759470,1239,51807525
list-id-m,1,10,4,30,169443,5648,2967
list-id-m,1,20,4,60,153654,2560,3319
list-id-m,1,40,4,120,187389,1561,4025
list-id-m,1,80,4,240,236875,986,6852
list-id-m,4,10,4,120,226524,1887,120295
list-id-m,4,20,4,240,309496,1289,288314
list-id-m,4,40,4,480,471855,983,636105
list-id-m,4,80,4,960,956698,996,1415527
list-id-m,8,10,4,240,300623,1252,161917
list-id-m,8,20,4,480,542199,1129,1359251
list-id-m,8,40,4,960,864341,900,2902855
list-id-m,8,80,4,1920,1802520,938,7461921
list-id-m,12,10,4,360,403496,1120,414294
list-id-m,12,20,4,720,743583,1032,3648841
list-id-m,12,40,4,1440,1273393,884,7752835
list-id-m,12,80,4,2880,2789814,968,21076554
list-id-m,16,10,4,480,541402,1127,1651204
list-id-m,16,20,4,960,924538,963,6215898
list-id-m,16,40,4,1920,1797523,936,16737649
list-id-m,16,80,4,3840,3809514,992,41708753
list-none-s,1,1000,4,3000,1374303,458,67239
list-none-s,1,1000,8,3000,920136,306,68012
list-none-s,1,1000,16,3000,644239,214,65660
list-none-s,2,1000,4,6000,13904792,2317,4536987
list-none-s,2,1000,8,6000,6476893,1079,1732701
list-none-s,2,1000,16,6000,3649005,608,960053
list-none-s,4,1000,4,12000,21305475,1775,34207480
list-none-s,4,1000,8,12000,8703884,725,9377208
list-none-s,4,1000,16,12000,4866574,405,3913260
list-none-s,8,1000,4,24000,48696395,2029,242627434
list-none-s,8,1000,8,24000,16784434,699,59563717
list-none-s,8,1000,16,24000,7979857,332,19509624
list-none-s,12,1000,4,36000,104449186,2901,902405807
list-none-s,12,1000,8,36000,33178242,921,222036611
list-none-s,12,1000,16,36000,13397384,372,61964387
list-none-m,1,1000,4,3000,1468920,489,71194
list-none-m,1,1000,8,3000,967104,322,71619
list-none-m,1,1000,16,3000,719543,239,83743
list-none-m,2,1000,4,6000,9665060,1610,5061481
list-none-m,2,1000,8,6000,5328827,888,2364560
list-none-m,2,1000,16,6000,3480837,580,1202710
list-none-m,4,1000,4,12000,20751869,1729,37367619
list-none-m,4,1000,8,12000,9583559,798,13435334
list-none-m,4,1000,16,12000,5531427,460,5795957
list-none-m,8,1000,4,24000,60106176,2504,308828564
list-none-m,8,1000,8,24000,23214226,967,89349892
list-none-m,8,1000,16,24000,10839436,451,31548614
list-none-m,12,1000,4,36000,128364261,3565,1135044103
list-none-m,12,1000,8,36000,42901796,1191,297160186
list-none-m,12,1000,16,36000,18612927,517,96989547
